composite_ID,UID,test,domain,TSVR_hours,IRT_score
A062_4,A062,4,What,149.18,-0.5505843
A063_1,A063,1,What,1.0,0.7833641
A063_2,A063,2,What,21.98,0.50485903
A063_3,A063,3,What,69.99,0.36549178
A063_4,A063,4,What,141.09,-0.6113484
A064_1,A064,1,What,1.0,1.0437275
A064_2,A064,2,What,37.65,0.62713385
A064_3,A064,3,What,82.99,0.41516995
A064_4,A064,4,What,156.21,-0.070843264
A065_1,A065,1,What,1.0,-2.1746836
A065_2,A065,2,What,32.31,-1.1918952
A065_3,A065,3,What,106.41,-1.9587346
A065_4,A065,4,What,187.43,-2.4718368
A066_1,A066,1,What,1.0,0.5877305
A066_2,A066,2,What,23.35,-0.24346694
A066_3,A066,3,What,73.79,-0.82052904
A066_4,A066,4,What,164.93,-1.2888547
A067_1,A067,1,What,1.0,0.88467497
A067_2,A067,2,What,29.91,-1.1704557
A067_3,A067,3,What,73.19,-1.4594061
A067_4,A067,4,What,144.19,-1.1524973
A068_1,A068,1,What,1.0,1.5781611
A068_2,A068,2,What,30.49,0.14502825
A068_3,A068,3,What,82.98,0.23438412
A068_4,A068,4,What,155.59,-0.37933305
A069_1,A069,1,What,1.0,-0.41606086
A069_2,A069,2,What,24.96,-1.4017547
A069_3,A069,3,What,79.75,-0.28530526
A069_4,A069,4,What,140.22,-1.4135531
A070_1,A070,1,What,1.0,0.5219151
A070_2,A070,2,What,24.25,0.19770284
A070_3,A070,3,What,81.92,-0.34628716
A070_4,A070,4,What,149.2,-0.6466961
A071_1,A071,1,What,1.0,0.8269955
A071_2,A071,2,What,30.92,0.52419287
A071_3,A071,3,What,79.96,-1.1711217
A071_4,A071,4,What,153.27,0.10002842
A072_1,A072,1,What,1.0,0.81125784
A072_2,A072,2,What,33.76,0.4618086
A072_3,A072,3,What,83.54,-1.1341089
A072_4,A072,4,What,154.89,-0.5302154
A073_1,A073,1,What,1.0,0.6544795
A073_2,A073,2,What,66.66,-0.7580057
A073_3,A073,3,What,66.9,-0.30615124
A073_4,A073,4,What,140.12,0.90156066
A074_1,A074,1,What,1.0,0.9347626
A074_2,A074,2,What,29.33,-0.76089525
A074_3,A074,3,What,73.02,-1.1451392
A074_4,A074,4,What,147.21,-1.2613695
A075_1,A075,1,What,1.0,0.25188833
A075_2,A075,2,What,28.68,0.108092144
A075_3,A075,3,What,71.37,-1.198156
A075_4,A075,4,What,244.53,-0.75654626
A076_1,A076,1,What,1.0,-0.48276085
A076_2,A076,2,What,27.3,-0.47757313
A076_3,A076,3,What,74.88,-1.4173888
A076_4,A076,4,What,149.28,-2.3509033
A077_1,A077,1,What,1.0,1.3145027
A077_2,A077,2,What,53.88,-0.046640176
A077_3,A077,3,What,78.36,0.09669988
A077_4,A077,4,What,149.75,0.63073874
A078_1,A078,1,What,1.0,0.023597341
A078_2,A078,2,What,26.17,0.099462025
A078_3,A078,3,What,72.3,-0.7596743
A078_4,A078,4,What,140.08,-0.65401506
A079_1,A079,1,What,1.0,0.13202901
A079_2,A079,2,What,26.11,-0.5799095
A079_3,A079,3,What,74.0,-1.0114949
A079_4,A079,4,What,194.42,-0.5881184
A080_1,A080,1,What,1.0,0.43105462
A080_2,A080,2,What,29.03,0.4199076
A080_3,A080,3,What,72.87,0.3975454
A080_4,A080,4,What,145.77,-0.8417055
A081_1,A081,1,What,1.0,0.41316152
A081_2,A081,2,What,31.39,-0.49664956
A081_3,A081,3,What,80.13,0.96994483
A081_4,A081,4,What,154.53,0.04104539
A082_1,A082,1,What,1.0,0.70349485
A082_2,A082,2,What,27.97,1.0411574
A082_3,A082,3,What,75.71,0.26939318
A082_4,A082,4,What,170.25,0.099159405
A083_1,A083,1,What,1.0,1.716006
A083_2,A083,2,What,25.15,0.627722
A083_3,A083,3,What,74.3,-0.03808578
A083_4,A083,4,What,144.91,-0.45677182
A084_1,A084,1,What,1.0,0.27613997
A084_2,A084,2,What,27.25,-1.0235722
A084_3,A084,3,What,91.97,-0.04605442
A084_4,A084,4,What,162.51,-0.27272734
A085_1,A085,1,What,1.0,0.11177244
A085_2,A085,2,What,24.51,1.5030562
A085_3,A085,3,What,71.4,-0.12060891
A085_4,A085,4,What,170.65,-0.5840122
A086_1,A086,1,What,1.0,0.67570555
A086_2,A086,2,What,23.47,-0.8055431
A086_3,A086,3,What,145.29,-1.0776986
A086_4,A086,4,What,169.55,-0.74143744
A087_1,A087,1,What,1.0,1.2110579
A087_2,A087,2,What,31.07,0.91695786
A087_3,A087,3,What,72.8,-0.11189697
A087_4,A087,4,What,144.2,0.37117374
A088_1,A088,1,What,1.0,1.4964592
A088_2,A088,2,What,24.25,2.3701851
A088_3,A088,3,What,74.91,0.24273601
A088_4,A088,4,What,149.93,1.3775116
A089_1,A089,1,What,1.0,1.3879722
A089_2,A089,2,What,32.14,0.98157203
A089_3,A089,3,What,79.34,0.18005185
A089_4,A089,4,What,146.96,0.12621939
A090_1,A090,1,What,1.0,0.5685513
A090_2,A090,2,What,23.54,-1.004835
A090_3,A090,3,What,95.42,-1.9035667
A090_4,A090,4,What,144.07,-1.0069829
A091_1,A091,1,What,1.0,0.6446007
A091_2,A091,2,What,22.2,-0.23618999
A091_3,A091,3,What,73.64,-1.0844674
A091_4,A091,4,What,142.61,-0.22201028
A092_1,A092,1,What,1.0,-0.45725018
A092_2,A092,2,What,22.83,-0.707106
A092_3,A092,3,What,71.31,-0.27878723
A092_4,A092,4,What,146.16,-1.5835248
A093_1,A093,1,What,1.0,0.40196308
A093_2,A093,2,What,22.09,0.31625798
A093_3,A093,3,What,70.22,0.895297
A093_4,A093,4,What,140.95,0.58903307
A094_1,A094,1,What,1.0,-0.4338472
A094_2,A094,2,What,22.98,-0.10413395
A094_3,A094,3,What,76.21,-1.5876961
A094_4,A094,4,What,149.99,-0.9550737
A095_1,A095,1,What,1.0,1.5629785
A095_2,A095,2,What,29.71,-0.31464836
A095_3,A095,3,What,78.76,-0.52469057
A095_4,A095,4,What,148.79,-0.44003212
A096_1,A096,1,What,1.0,-0.5876299
A096_2,A096,2,What,24.49,-1.6634033
A096_3,A096,3,What,71.19,-2.0487726
A096_4,A096,4,What,143.66,-1.6537123
A097_1,A097,1,What,1.0,0.30110675
A097_2,A097,2,What,24.37,-0.46951467
A097_3,A097,3,What,70.83,0.49897698
A097_4,A097,4,What,144.85,0.21680588
A098_1,A098,1,What,1.0,0.63542306
A098_2,A098,2,What,25.77,0.2751316
A098_3,A098,3,What,78.84,1.2736149
A098_4,A098,4,What,146.29,-0.28662166
A099_1,A099,1,What,1.0,0.8915915
A099_2,A099,2,What,28.75,0.962919
A099_3,A099,3,What,78.57,-0.6954294
A099_4,A099,4,What,143.51,0.024082785
A100_1,A100,1,What,1.0,0.07399175
A100_2,A100,2,What,31.14,0.9113723
A100_3,A100,3,What,75.34,0.36577296
A100_4,A100,4,What,146.8,0.07635781
A101_1,A101,1,What,1.0,-1.1400971
A101_2,A101,2,What,29.12,-0.97317004
A101_3,A101,3,What,75.21,-1.268504
A101_4,A101,4,What,150.22,-1.4687408
A102_1,A102,1,What,1.0,-0.1090957
A102_2,A102,2,What,29.13,0.7893604
A102_3,A102,3,What,75.27,-0.54814076
A102_4,A102,4,What,150.41,-0.016238477
A103_1,A103,1,What,1.0,1.5837513
A103_2,A103,2,What,27.26,-0.8997795
A103_3,A103,3,What,80.24,-1.8014679
A103_4,A103,4,What,149.72,-0.7135607
A104_1,A104,1,What,1.0,1.9797188
A104_2,A104,2,What,22.6,-0.25339428
A104_3,A104,3,What,72.62,0.30562896
A104_4,A104,4,What,145.78,-1.6902736
A105_1,A105,1,What,1.0,0.6786545
A105_2,A105,2,What,22.77,0.4023
A105_3,A105,3,What,69.46,-0.07094553
A105_4,A105,4,What,146.2,0.012376063
A106_1,A106,1,What,1.0,1.5945877
A106_2,A106,2,What,22.64,0.07416145
A106_3,A106,3,What,66.08,0.610385
A106_4,A106,4,What,147.13,0.97847015
A107_1,A107,1,What,1.0,-0.6293192
A107_2,A107,2,What,26.22,-1.6425781
A107_3,A107,3,What,71.45,-0.8989691
A107_4,A107,4,What,145.95,-1.2341427
A108_1,A108,1,What,1.0,-0.6797666
A108_2,A108,2,What,27.61,-1.2300881
A108_3,A108,3,What,68.96,-0.64672476
A108_4,A108,4,What,152.12,-1.2409853
A109_1,A109,1,What,1.0,-0.29406714
A109_2,A109,2,What,24.65,-0.85136366
A109_3,A109,3,What,71.17,-0.2927042
A109_4,A109,4,What,149.87,-1.3304558
A010_1,A010,1,Where,1.0,2.4439983
A010_2,A010,2,Where,21.9,0.59148264
A010_3,A010,3,Where,80.88,-0.091231495
A010_4,A010,4,Where,145.31,0.47084022
A011_1,A011,1,Where,1.0,0.9860436
A011_2,A011,2,Where,24.57,0.20441371
A011_3,A011,3,Where,72.55,-0.74633425
A011_4,A011,4,Where,148.85,-0.26116142
A012_1,A012,1,Where,1.0,1.4285018
A012_2,A012,2,Where,25.6,-0.31520778
A012_3,A012,3,Where,166.33,1.0647037
A012_4,A012,4,Where,166.87,-0.45238903
A013_1,A013,1,Where,1.0,0.09202722
A013_2,A013,2,Where,24.77,-0.6685766
A013_3,A013,3,Where,79.66,0.24629961
A013_4,A013,4,Where,147.13,-0.42889243
A014_1,A014,1,Where,1.0,0.840902
A014_2,A014,2,Where,25.66,1.7318953
A014_3,A014,3,Where,70.56,0.22653097
A014_4,A014,4,Where,148.87,-0.64632875
A015_1,A015,1,Where,1.0,1.7240337
A015_2,A015,2,Where,23.69,1.980908
A015_3,A015,3,Where,70.59,1.7067914
A015_4,A015,4,Where,146.54,0.8411193
A016_1,A016,1,Where,1.0,1.42478
A016_2,A016,2,Where,32.85,0.5182861
A016_3,A016,3,Where,80.64,0.08904186
A016_4,A016,4,Where,150.8,-1.0289922
A017_1,A017,1,Where,1.0,0.014488589
A017_2,A017,2,Where,20.61,0.9758614
A017_3,A017,3,Where,61.28,0.13619477
A017_4,A017,4,Where,140.49,-0.036762077
A018_1,A018,1,Where,1.0,0.33654568
A018_2,A018,2,Where,34.03,0.034030903
A018_3,A018,3,Where,83.64,-0.6435525
A018_4,A018,4,Where,150.87,-0.09666681
A019_1,A019,1,Where,1.0,-0.6979575
A019_2,A019,2,Where,28.69,-1.2111
A019_3,A019,3,Where,83.68,-1.4745452
A019_4,A019,4,Where,154.76,-1.8336661
A020_1,A020,1,Where,1.0,-0.079359196
A020_2,A020,2,Where,26.85,-0.15119976
A020_3,A020,3,Where,78.25,-0.95550704
A020_4,A020,4,Where,145.78,-2.1095285
A021_1,A021,1,Where,1.0,1.2243092
A021_2,A021,2,Where,30.21,0.61569417
A021_3,A021,3,Where,74.19,0.43332618
A021_4,A021,4,Where,140.39,0.7931139
A022_1,A022,1,Where,1.0,-0.02021975
A022_2,A022,2,Where,24.15,0.49875164
A022_3,A022,3,Where,74.46,0.051550657
A022_4,A022,4,Where,141.71,0.03178843
A023_1,A023,1,Where,1.0,0.8410934
A023_2,A023,2,Where,25.63,-0.37005034
A023_3,A023,3,Where,72.2,0.038829546
A023_4,A023,4,Where,145.07,-0.029049361
A024_1,A024,1,Where,1.0,0.4682902
A024_2,A024,2,Where,29.57,0.12924328
A024_3,A024,3,Where,91.47,0.1628256
A024_4,A024,4,Where,145.65,-0.8004861
A025_1,A025,1,Where,1.0,1.0470951
A025_2,A025,2,Where,23.33,1.87031
A025_3,A025,3,Where,72.94,0.022343142
A025_4,A025,4,Where,137.74,-0.8030515
A026_1,A026,1,Where,1.0,1.0557629
A026_2,A026,2,Where,26.48,0.11092596
A026_3,A026,3,Where,75.46,0.8867782
A026_4,A026,4,Where,147.65,-0.30421466
A027_1,A027,1,Where,1.0,0.8734448
A027_2,A027,2,Where,28.26,0.3406542
A027_3,A027,3,Where,74.58,-0.48679298
A027_4,A027,4,Where,145.92,-0.80049735
A028_1,A028,1,Where,1.0,1.5852748
A028_2,A028,2,Where,22.82,-0.25359893
A028_3,A028,3,Where,72.26,-0.15333362
A028_4,A028,4,Where,138.91,-0.9400507
A029_1,A029,1,Where,1.0,1.8794568
A029_2,A029,2,Where,28.43,0.4782135
A029_3,A029,3,Where,93.26,1.4485718
A029_4,A029,4,Where,143.14,0.75251937
A030_1,A030,1,Where,1.0,0.21859212
A030_2,A030,2,Where,32.95,1.2273304
A030_3,A030,3,Where,71.93,-0.03165805
A030_4,A030,4,Where,150.46,0.53584546
A031_1,A031,1,Where,1.0,2.1835008
A031_2,A031,2,Where,32.41,0.23107058
A031_3,A031,3,Where,71.56,-0.090858296
A031_4,A031,4,Where,143.85,-0.6049658
A032_1,A032,1,Where,1.0,0.7973815
A032_2,A032,2,Where,57.18,-0.19438347
A032_3,A032,3,Where,80.16,0.46258765
A032_4,A032,4,Where,144.51,1.7630539
A033_1,A033,1,Where,1.0,0.22796804
A033_2,A033,2,Where,29.16,0.45576963
A033_3,A033,3,Where,72.6,0.8525857
A033_4,A033,4,Where,168.33,-0.5992665
A034_1,A034,1,Where,1.0,1.6937131
A034_2,A034,2,Where,26.08,0.952347
A034_3,A034,3,Where,74.28,-0.020196838
A034_4,A034,4,Where,145.38,-0.0680759
A035_1,A035,1,Where,1.0,-0.11286555
A035_2,A035,2,Where,44.76,0.78530264
A035_3,A035,3,Where,79.98,-0.4592081
A035_4,A035,4,Where,152.47,-0.9852635
A036_1,A036,1,Where,1.0,1.2830837
A036_2,A036,2,Where,21.63,-0.28614074
A036_3,A036,3,Where,71.47,-0.31800184
A036_4,A036,4,Where,143.85,-1.1686301
A037_1,A037,1,Where,1.0,1.2661066
A037_2,A037,2,Where,23.7,1.2943444
A037_3,A037,3,Where,72.08,0.3974338
A037_4,A037,4,Where,143.66,-0.20977189
A038_1,A038,1,Where,1.0,1.1532568
A038_2,A038,2,Where,71.85,-0.34703606
A038_3,A038,3,Where,72.86,0.9468073
A038_4,A038,4,Where,152.89,0.0417404
A039_1,A039,1,Where,1.0,2.261533
A039_2,A039,2,Where,28.65,1.4364381
A039_3,A039,3,Where,98.84,0.62716204
A039_4,A039,4,Where,246.24,0.81087965
A040_1,A040,1,Where,1.0,-0.43747115
A040_2,A040,2,Where,26.26,0.06511351
A040_3,A040,3,Where,71.28,-1.7008954
A040_4,A040,4,Where,143.53,-1.4403187
A041_1,A041,1,Where,1.0,1.3058646
A041_2,A041,2,Where,31.78,-1.2771462
A041_3,A041,3,Where,75.74,0.3539766
A041_4,A041,4,Where,141.84,0.21180752
A042_1,A042,1,Where,1.0,-0.90481186
A042_2,A042,2,Where,28.93,-1.2185562
A042_3,A042,3,Where,72.17,-0.22750992
A042_4,A042,4,Where,146.02,-1.1107395
A043_1,A043,1,Where,1.0,1.1258926
A043_2,A043,2,Where,25.62,0.6062357
A043_3,A043,3,Where,64.94,0.5975626
A043_4,A043,4,Where,149.33,-0.3230173
A044_1,A044,1,Where,1.0,-0.071484536
A044_2,A044,2,Where,47.66,-0.3498922
A044_3,A044,3,Where,91.63,-1.3810043
A044_4,A044,4,Where,155.27,-1.775171
A045_1,A045,1,Where,1.0,-0.8901351
A045_2,A045,2,Where,24.66,-1.1997546
A045_3,A045,3,Where,72.23,-1.20582
A045_4,A045,4,Where,151.52,-1.0786914
A046_1,A046,1,Where,1.0,-0.7594207
A046_2,A046,2,Where,24.32,-1.4042654
A046_3,A046,3,Where,73.05,-1.4292107
A046_4,A046,4,Where,147.94,-0.8373177
A047_1,A047,1,Where,1.0,-0.77400184
A047_2,A047,2,Where,23.46,-0.5633802
A047_3,A047,3,Where,76.85,-0.9876903
A047_4,A047,4,Where,144.22,-1.5214664
A048_1,A048,1,Where,1.0,1.2967834
A048_2,A048,2,Where,23.91,0.15703231
A048_3,A048,3,Where,81.15,-0.019427864
A048_4,A048,4,Where,146.3,-0.12420391
A049_1,A049,1,Where,1.0,2.1550138
A049_2,A049,2,Where,27.12,-0.65311587
A049_3,A049,3,Where,111.38,0.5108627
A049_4,A049,4,Where,168.86,0.17281532
A050_1,A050,1,Where,1.0,-0.27281812
A050_2,A050,2,Where,24.73,-0.5890776
A050_3,A050,3,Where,93.39,-0.81224996
A050_4,A050,4,Where,148.69,-1.0636857
A051_1,A051,1,Where,1.0,1.7481024
A051_2,A051,2,Where,17.16,-0.11357858
A051_3,A051,3,Where,65.63,-0.5669623
A051_4,A051,4,Where,146.99,-0.5802509
A052_1,A052,1,Where,1.0,0.27368045
A052_2,A052,2,Where,31.76,0.0042204764
A052_3,A052,3,Where,80.98,-0.083795846
A052_4,A052,4,Where,153.27,-0.75080687
A053_1,A053,1,Where,1.0,1.3134335
A053_2,A053,2,Where,32.71,0.9613449
A053_3,A053,3,Where,78.28,-0.3428614
A053_4,A053,4,Where,148.9,-0.13025364
A054_1,A054,1,Where,1.0,0.44365084
A054_2,A054,2,Where,16.9,1.1336492
A054_3,A054,3,Where,72.83,1.302544
A054_4,A054,4,Where,136.83,1.423274
A055_1,A055,1,Where,1.0,0.2548027
A055_2,A055,2,Where,23.24,1.0685252
A055_3,A055,3,Where,74.48,-0.15719408
A055_4,A055,4,Where,149.21,-0.6868054
A056_1,A056,1,Where,1.0,0.53407556
A056_2,A056,2,Where,33.61,0.36599728
A056_3,A056,3,Where,71.46,-0.27181906
A056_4,A056,4,Where,147.84,-1.0553216
A057_1,A057,1,Where,1.0,0.5566227
A057_2,A057,2,Where,24.78,-0.7836676
A057_3,A057,3,Where,73.83,-0.71654075
A057_4,A057,4,Where,145.06,-0.99096304
A058_1,A058,1,Where,1.0,1.0633141
A058_2,A058,2,Where,22.96,-0.7664266
A058_3,A058,3,Where,66.28,0.050771274
A058_4,A058,4,Where,143.48,-1.0194858
A059_1,A059,1,Where,1.0,0.8121099
A059_2,A059,2,Where,30.4,1.1245613
A059_3,A059,3,Where,79.78,1.553987
A059_4,A059,4,Where,151.93,0.44093394
A060_1,A060,1,Where,1.0,-0.18527703
A060_2,A060,2,Where,24.87,1.1582936
A060_3,A060,3,Where,94.68,-0.6168478
A060_4,A060,4,Where,143.91,0.17548531
A061_1,A061,1,Where,1.0,2.4665449
A061_2,A061,2,Where,35.16,0.91655695
A061_3,A061,3,Where,82.55,0.4243972
A061_4,A061,4,Where,146.56,-0.2831631
A062_1,A062,1,Where,1.0,1.5600666
A062_2,A062,2,Where,44.69,0.1418573
A062_3,A062,3,Where,92.72,-0.45045272
