TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
75.21,What,IRT,-1.268504,,,1
75.27,What,IRT,-0.54814076,,,1
75.34,What,IRT,0.36577296,,,1
75.46,What,IRT,0.3868858,,,1
75.71,What,IRT,0.26939318,,,1
75.74,What,IRT,0.059980888,,,1
76.21,What,IRT,-1.5876961,,,1
76.85,What,IRT,-1.4562982,,,1
78.25,What,IRT,-0.46821594,,,1
78.28,What,IRT,-0.52216256,,,1
78.36,What,IRT,0.09669988,,,1
78.57,What,IRT,-0.6954294,,,1
78.76,What,IRT,-0.52469057,,,1
78.84,What,IRT,1.2736149,,,1
79.34,What,IRT,0.18005185,,,1
79.66,What,IRT,0.38999763,,,1
79.75,What,IRT,-0.28530526,,,1
79.78,What,IRT,1.2263882,,,1
79.96,What,IRT,-1.1711217,,,1
79.98,What,IRT,-0.35612592,,,1
80.13,What,IRT,0.96994483,,,1
80.16,What,IRT,0.7994235,,,1
80.24,What,IRT,-1.8014679,,,1
80.64,What,IRT,0.09681583,,,1
80.88,What,IRT,-0.24620515,,,1
80.98,What,IRT,0.17672805,,,1
81.15,What,IRT,0.23268522,,,1
81.92,What,IRT,-0.34628716,,,1
82.55,What,IRT,0.12469013,,,1
82.98,What,IRT,0.23438412,,,1
82.99,What,IRT,0.41516995,,,1
83.54,What,IRT,-1.1341089,,,1
83.64,What,IRT,-0.91410375,,,1
83.68,What,IRT,-0.94285613,,,1
91.47,What,IRT,0.3260986,,,1
91.63,What,IRT,-0.9757199,,,1
91.97,What,IRT,-0.04605442,,,1
92.72,What,IRT,-0.8347038,,,1
93.26,What,IRT,1.1595125,,,1
93.39,What,IRT,-1.037826,,,1
94.68,What,IRT,-0.14499544,,,1
95.42,What,IRT,-1.9035667,,,1
98.84,What,IRT,0.31220362,,,1
106.41,What,IRT,-1.9587346,,,1
111.38,What,IRT,0.13866153,,,1
136.83,What,IRT,1.199456,,,1
137.74,What,IRT,-1.4041344,,,1
138.91,What,IRT,-0.40401626,,,1
140.08,What,IRT,-0.65401506,,,1
140.12,What,IRT,0.90156066,,,1
140.22,What,IRT,-1.4135531,,,1
140.39,What,IRT,0.7857295,,,1
140.49,What,IRT,0.20140322,,,1
140.95,What,IRT,0.58903307,,,1
141.09,What,IRT,-0.6113484,,,1
141.71,What,IRT,0.26840943,,,1
141.84,What,IRT,0.045220107,,,1
142.61,What,IRT,-0.22201028,,,1
143.14,What,IRT,1.0474995,,,1
143.48,What,IRT,-0.94237626,,,1
143.51,What,IRT,0.024082785,,,1
143.53,What,IRT,-1.7589025,,,1
143.66,What,IRT,-0.89470673,-2.3823576472,0.5929441872000001,2
143.85,What,IRT,-0.49845019999999995,-0.667845552,-0.32905484799999996,2
143.91,What,IRT,0.22517887,,,1
144.07,What,IRT,-1.0069829,,,1
144.19,What,IRT,-1.1524973,,,1
144.2,What,IRT,0.37117374,,,1
144.22,What,IRT,-1.3712326,,,1
144.51,What,IRT,1.3869435,,,1
144.85,What,IRT,0.21680588,,,1
144.91,What,IRT,-0.45677182,,,1
145.06,What,IRT,-0.8997757,,,1
145.07,What,IRT,-0.06907465,,,1
145.29,What,IRT,-1.0776986,,,1
145.31,What,IRT,0.76564074,,,1
145.38,What,IRT,-0.25343332,,,1
145.65,What,IRT,-0.4476697,,,1
145.77,What,IRT,-0.8417055,,,1
145.78,What,IRT,-1.9845045,-2.561197064,-1.407811936,2
145.92,What,IRT,-0.9249458,,,1
145.95,What,IRT,-1.2341427,,,1
146.02,What,IRT,-1.0751622,,,1
146.16,What,IRT,-1.5835248,,,1
146.2,What,IRT,0.012376063,,,1
146.29,What,IRT,-0.28662166,,,1
146.3,What,IRT,0.47788984,,,1
146.54,What,IRT,0.48828286,,,1
146.56,What,IRT,-0.31471238,,,1
146.8,What,IRT,0.07635781,,,1
146.96,What,IRT,0.12621939,,,1
146.99,What,IRT,-0.75623167,,,1
147.13,What,IRT,0.203332475,-1.315937368,1.722602318,2
147.21,What,IRT,-1.2613695,,,1
147.65,What,IRT,-0.0556293,,,1
147.84,What,IRT,-0.7479079,,,1
147.94,What,IRT,-1.2604105,,,1
148.69,What,IRT,-1.1924096,,,1
148.79,What,IRT,-0.44003212,,,1
148.85,What,IRT,-0.6501544,,,1
148.87,What,IRT,-0.48348227,,,1
148.9,What,IRT,0.31794128,,,1
149.18,What,IRT,-0.5505843,,,1
149.2,What,IRT,-0.6466961,,,1
149.21,What,IRT,-0.27365744,,,1
149.28,What,IRT,-2.3509033,,,1
149.33,What,IRT,-0.026184201,,,1
149.72,What,IRT,-0.7135607,,,1
149.75,What,IRT,0.63073874,,,1
149.87,What,IRT,-1.3304558,,,1
149.93,What,IRT,1.3775116,,,1
149.99,What,IRT,-0.9550737,,,1
150.22,What,IRT,-1.4687408,,,1
150.41,What,IRT,-0.016238477,,,1
150.46,What,IRT,-0.0007534161,,,1
150.8,What,IRT,-1.1568888,,,1
150.87,What,IRT,0.16954863,,,1
151.52,What,IRT,-1.5065612,,,1
151.93,What,IRT,0.31380215,,,1
152.12,What,IRT,-1.2409853,,,1
152.47,What,IRT,-0.88171935,,,1
152.89,What,IRT,0.056318834,,,1
153.27,What,IRT,-0.22362204000000002,-0.8579769416,0.41073286159999994,2
154.53,What,IRT,0.04104539,,,1
154.76,What,IRT,-1.264995,,,1
154.89,What,IRT,-0.5302154,,,1
155.27,What,IRT,-1.5148207,,,1
155.59,What,IRT,-0.37933305,,,1
156.21,What,IRT,-0.070843264,,,1
162.51,What,IRT,-0.27272734,,,1
164.93,What,IRT,-1.2888547,,,1
