UID,TEST,TQ_RFR-N-OBJ1,TQ_RFR-N-OBJ2,TQ_RFR-N-OBJ3,TQ_RFR-N-OBJ4,TQ_RFR-N-STRA,TQ_RFR-N-PORT,TQ_RFR-N-LAND,TQ_IFR-N-i1,TQ_IFR-N-i2,TQ_IFR-N-i3,TQ_IFR-N-i4,TQ_IFR-N-i5,TQ_IFR-N-i6,TQ_RFR-O-RORD,TQ_RFR-O-TMOD,TQ_RFR-N-WEAT,TQ_RFR-L-OBJ1,TQ_RFR-L-OBJ2,TQ_RFR-L-OBJ3,TQ_RFR-L-OBJ4,TQ_RFR-L-DOOR,TQ_RFR-L-WIND,TQ_RFR-L-PORT,TQ_RFR-L-LAND,TQ_RFR-L-STRA,TQ_IFR-U-i1,TQ_IFR-U-i2,TQ_IFR-U-i3,TQ_IFR-U-i4,TQ_IFR-U-i5,TQ_IFR-U-i6,TQ_IFR-D-i1,TQ_IFR-D-i2,TQ_IFR-D-i3,TQ_IFR-D-i4,TQ_IFR-D-i5,TQ_IFR-D-i6,TQ_IFR-O-i1,TQ_IFR-O-i2,TQ_IFR-O-i3,TQ_IFR-O-i4,TQ_IFR-O-i5,TQ_IFR-O-i6,TQ_TCR-O-TSK1,TQ_TCR-O-TSK2,TQ_TCR-O-TSK3,TQ_TCR-O-TSK4,TQ_TCR-O-TSK5,TQ_TCR-O-TSK6,TQ_ICR-N-i1,TQ_ICR-N-i2,TQ_ICR-N-i3,TQ_ICR-N-i4,TQ_ICR-N-i5,TQ_ICR-N-i6,TQ_ICR-U-i1,TQ_ICR-U-i2,TQ_ICR-U-i3,TQ_ICR-U-i4,TQ_ICR-U-i5,TQ_ICR-U-i6,TQ_ICR-D-i1,TQ_ICR-D-i2,TQ_ICR-D-i3,TQ_ICR-D-i4,TQ_ICR-D-i5,TQ_ICR-D-i6,TQ_ICR-O-i1,TQ_ICR-O-i2,TQ_ICR-O-i3,TQ_ICR-O-i4,TQ_ICR-O-i5,TQ_ICR-O-i6,TQ_RRE-L-DOOR,TQ_RRE-L-WIND,TQ_RRE-N-LAND,TQ_RRE-L-LAND,TQ_RRE-N-PORT,TQ_RRE-L-PORT,TQ_RRE-N-STRA,TQ_RRE-L-STRA,TQ_IRE-N-i1,TQ_IRE-N-i2,TQ_IRE-N-i3,TQ_IRE-N-i4,TQ_IRE-N-i5,TQ_IRE-N-i6,TQ_IRE-U-i1,TQ_IRE-U-i2,TQ_IRE-U-i3,TQ_IRE-U-i4,TQ_IRE-U-i5,TQ_IRE-U-i6,TQ_IRE-D-i1,TQ_IRE-D-i2,TQ_IRE-D-i3,TQ_IRE-D-i4,TQ_IRE-D-i5,TQ_IRE-D-i6,TQ_IRE-O-i1,TQ_IRE-O-i2,TQ_IRE-O-i3,TQ_IRE-O-i4,TQ_IRE-O-i5,TQ_IRE-O-i6,TC_RFR-N-OBJ1,TC_RFR-N-OBJ2,TC_RFR-N-OBJ3,TC_RFR-N-OBJ4,TC_RFR-N-STRA,TC_RFR-N-PORT,TC_RFR-N-LAND,TC_IFR-N-i1,TC_IFR-N-i2,TC_IFR-N-i3,TC_IFR-N-i4,TC_IFR-N-i5,TC_IFR-N-i6,TC_RFR-O-RORD,TC_RFR-O-TMOD,TC_RFR-N-WEAT,TC_RFR-L-OBJ1,TC_RFR-L-OBJ2,TC_RFR-L-OBJ3,TC_RFR-L-OBJ4,TC_RFR-L-DOOR,TC_RFR-L-WIND,TC_RFR-L-PORT,TC_RFR-L-LAND,TC_RFR-L-STRA,TC_IFR-U-i1,TC_IFR-U-i2,TC_IFR-U-i3,TC_IFR-U-i4,TC_IFR-U-i5,TC_IFR-U-i6,TC_IFR-D-i1,TC_IFR-D-i2,TC_IFR-D-i3,TC_IFR-D-i4,TC_IFR-D-i5,TC_IFR-D-i6,TC_IFR-O-i1,TC_IFR-O-i2,TC_IFR-O-i3,TC_IFR-O-i4,TC_IFR-O-i5,TC_IFR-O-i6,TC_TCR-O-TSK1,TC_TCR-O-TSK2,TC_TCR-O-TSK3,TC_TCR-O-TSK4,TC_TCR-O-TSK5,TC_TCR-O-TSK6,TC_ICR-N-i1,TC_ICR-N-i2,TC_ICR-N-i3,TC_ICR-N-i4,TC_ICR-N-i5,TC_ICR-N-i6,TC_ICR-U-i1,TC_ICR-U-i2,TC_ICR-U-i3,TC_ICR-U-i4,TC_ICR-U-i5,TC_ICR-U-i6,TC_ICR-D-i1,TC_ICR-D-i2,TC_ICR-D-i3,TC_ICR-D-i4,TC_ICR-D-i5,TC_ICR-D-i6,TC_ICR-O-i1,TC_ICR-O-i2,TC_ICR-O-i3,TC_ICR-O-i4,TC_ICR-O-i5,TC_ICR-O-i6,TC_RRE-L-DOOR,TC_RRE-L-WIND,TC_RRE-N-LAND,TC_RRE-L-LAND,TC_RRE-N-PORT,TC_RRE-L-PORT,TC_RRE-N-STRA,TC_RRE-L-STRA,TC_IRE-N-i1,TC_IRE-N-i2,TC_IRE-N-i3,TC_IRE-N-i4,TC_IRE-N-i5,TC_IRE-N-i6,TC_IRE-U-i1,TC_IRE-U-i2,TC_IRE-U-i3,TC_IRE-U-i4,TC_IRE-U-i5,TC_IRE-U-i6,TC_IRE-D-i1,TC_IRE-D-i2,TC_IRE-D-i3,TC_IRE-D-i4,TC_IRE-D-i5,TC_IRE-D-i6,TC_IRE-O-i1,TC_IRE-O-i2,TC_IRE-O-i3,TC_IRE-O-i4,TC_IRE-O-i5,TC_IRE-O-i6,TSVR,seconds-taken-to-complete-rfr,seconds-taken-to-complete-ifr,seconds-taken-to-complete-tcr,seconds-taken-to-complete-icr,seconds-taken-to-complete-rre,seconds-taken-to-complete-ire,time-been-awake-today,hours-slept-night-before,time-woke-up,sleep-quality--1=bad-1=good,tiredness--1=tired-1=alert,consumed-stimulants,what-stimulants,consumed-intoxicants,what-intoxicants,anyone-helping-you,who-is-helping,strategy-1,strategy-2,strategy-3,strategy-4,strategy-5,strategy-6,strategy-7,strategy-8,strategy-9,strategy-10,strategy-11,strategy-12,strategy-13,strategy-14
A010,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,0.25,1,0,1,0,1,0,0.5,1,1,0.5,1,1,1,0,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0,1,1,1,1,1,1,1,1,0.2,1,1,1,0.2,1,1,1,1,1,1,1,0.8,0.8,0.6,0.6,1,1,0.4,1,1,1,0.2,0.4,0.2,1,0.4,1,0.2,0.4,0.2,1,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,1,1,0.8,1,1,1,1,1,0.8,1,1,1,0.4,0.4,0.4,1,0.4,1,0.4,0.6,0.4,1,0.4,0.6,0.2,0.6,0.6,1,0.6,1,0.8,1,1,1,1,1,1,1,1,1,0.6,1,1,1,0.6,0.6,0.6,1,0.6,1,0.4,0.4,0.6,1,0.6,0.6,0.4,1,55,326,558,144,354,212,0.2,7,0.27,-0.5,0,1,1 small coffee,0,"nan, ",No,"nan, ",0,"nan, ","nan, ","nan, ","nan, ","The furniture/fixtures/objects in the room, The location of furniture/fixtures/objects, The items you picked up, Where you picked up and put down items",No specific strategy,"nan, ",No specific strategy,"nan, ",Unsure,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A010,2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0.5,0.5,1,1,0,1,0,0.5,0.5,0.5,0.25,0,0.5,0,0.5,0,1,0,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,0,1,0.5,1,1,0.5,0,0.5,1,0.5,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0,1,0,1,0.5,1,1,1,0.5,1,1,0.5,0,0.8,0.8,0.6,0.8,1,1,1,1,0.2,0.6,1,0.2,0.2,0.8,0.8,0.8,1,1,1,0.8,0.4,0.4,0.4,0.2,1,0.8,1,0.6,0.2,0.2,0.2,1,0.4,0.4,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,0.8,1,1,0.6,1,1,0.6,0.4,1,0.6,0.8,0.4,0.6,0.8,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,1,0.4,1,0.4,0.8,1,1,1,1,1,1,1,1,0.4,1,1,0.4,0.4,1,0.4,0.8,0.4,0.6,1,0.4,0.2,0.4,0.4,0.4,0.4,21.9,31,539,427,69,220,212,0.07,8,0.31,0,0,0,"nan, ",0,"nan, ",No,"nan, ",0,-0.5,Unsure,I knew what questions would be asked so I was prepared to remember those details.,0.25,"The furniture/fixtures/objects in the room, The location of furniture/fixtures/objects",No specific strategy,"nan, ",No specific strategy,"nan, ",No,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A010,3,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0.5,1,0,0,0,1,0,0.5,0,1,0.5,0.5,0,0,0.5,1,1,1,0.5,1,1,1,1,1,1,1,0,1,0.5,1,0,1,0,0.25,0,1,0.5,0,0,1,0,1,0,0,0,0.5,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0.25,0,1,0.25,0,0,1,0.5,0.5,0,0,1,1,1,1,1,0.8,0.8,0.2,0.2,0.4,1,0.2,0.2,1,0.8,0.8,1,1,1,1,0.4,0.4,0.4,0.2,1,1,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,0.8,0.4,0.8,0.2,1,0.4,0.8,0.2,0.4,0.2,0.8,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,1,0.4,0.8,0.4,0.6,1,1,1,1,1,1,1,0.4,1,0.4,1,0.4,0.6,0.2,0.4,0.4,1,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,80.88,26,252,301,38,272,142,0.55,7,0.29,0,-0.5,0,"nan, ",0,"nan, ",No,"nan, ",-0.5,-0.5,No,"nan, ",0.5,"The furniture/fixtures/objects in the room, The items you picked up",No specific strategy,"nan, ",No specific strategy,"nan, ",No,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A010,4,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.25,1,1,0.5,1,1,0,0,0,0,0,0.5,1,0.5,0,0.5,0.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0,0,0,0.5,0.5,0,1,1,1,0.5,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0,0,0,0,0,1,1,0,1,0.5,0.5,1,1,0.4,1,0.6,1,1,1,0.2,1,0.8,0.2,0.8,1,1,0.6,0.6,1,1,1,1,0.6,0.4,0.4,0.4,1,1,0.8,0.8,1,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,1,1,1,1,0.6,1,1,0.2,1,1,0.2,0.8,1,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,1,0.4,0.6,0.4,1,1,1,1,0.8,0.8,0.8,0.8,0.4,1,1,0.4,0.8,1,0.2,0.4,0.4,0.4,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.4,145.31,24,254,364,46,189,116,0.25,7,0.27,0,0,1,1 regular coffee,0,"nan, ",No,"nan, ",-0.5,0,No,"nan, ",0.5,"The furniture/fixtures/objects in the room, The items you picked up",No specific strategy,"nan, ",No specific strategy,"nan, ",No,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A011,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.5,1,1,1,1,0.25,1,1,1,1,0.25,1,1,1,1,0.25,0.5,0.5,1,0.5,0.5,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,0.5,0,0.25,0,1,0,1,1,0,0.5,1,0.5,0,1,0,0.5,1,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,1,1,0,0,1,0.5,0.5,1,0.5,0.5,1,1,1,0.4,0.4,1,1,1,1,1,1,0.2,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,1,0.2,1,0.2,1,0.6,0.2,1,1,0.2,1,1,0.6,0.6,1,0.2,1,1,1,0.6,0.6,0.6,0.6,1,1,1,1,1,1,1,1,0.8,1,1,1,1,0.4,1,1,1,0.4,1,1,0.6,1,0.6,1,1,0.4,0.8,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.6,1,0.4,1,0.8,0.6,1,1,1,0.8,1,0.8,1,1,0.6,1,1,1,45,263,499,66,245,88,0.36,7,0.29,0.5,0,1,2 cups of coffee,0,"nan, ",No,"nan, ",0,"nan, ","nan, ","nan, ","nan, ","The furniture/fixtures/objects in the room, The location of furniture/fixtures/objects, The items you picked up, Where you picked up and put down items",Visualising the room layout,"nan, ",No specific strategy,"nan, ",No,"Yes, visual imagery","nan, ","nan, "
A011,2,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0.25,1,0.5,0.5,1,0,1,0.5,1,0,1,1,0.5,1,1,0.5,0.5,1,0,0.5,0,1,1,1,1,1,1,1,1,1,0.25,1,0.5,1,1,0,0,0.25,1,0,1,1,1,1,1,0.5,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.25,1,0.5,1,1,0,0.25,0.25,1,0,1,0.5,0,1,1,0.5,0.8,0.8,0.8,0.8,1,1,0.4,1,0.6,0.4,1,1,0.6,0.8,1,0.8,1,1,1,1,0.6,0.6,0.8,0.6,1,0.4,1,0.6,1,0.4,1,0.4,1,1,0.4,1,0.4,0.2,0.6,0.6,0.6,0.2,0.2,0.8,0.8,0.8,0.8,0.8,1,1,0.8,0.8,1,1,1,1,0.6,1,1,0.8,1,1,0.2,0.2,0.6,1,0.4,0.8,0.2,0.2,1,0.4,0.2,0.4,0.4,1,0.6,1,0.6,0.8,1,1,1,1,1,1,1,1,0.6,0.8,1,0.6,1,1,0.6,0.6,0.6,1,0.4,0.8,0.4,0.4,1,0.8,0.4,24.57,56,342,486,55,507,134,0.23,6,0.44,-0.5,-0.5,1,2 cups of coffee,0,"nan, ",No,"nan, ",-0.5,-0.5,Yes,Knowing what to expect i might need to recall,0.25,"The furniture/fixtures/objects in the room, Where you picked up and put down items",Visualising the room layout,"nan, ",No specific strategy,"nan, ",No,"Yes, visual imagery","nan, ","nan, "
A011,3,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0.5,0.25,0,1,0.5,0.25,1,1,0.25,1,1,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0.5,0.5,1,1,1,1,1,1,1,0.25,0,1,0.5,0.25,1,1,0.25,1,1,0,0,0.5,1,0,0,0.5,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0.25,0,1,0.5,0.25,1,1,0.25,0.5,1,0,0,0.5,1,0,0,0.5,0,0.4,0.4,0.6,0.4,0.2,0.8,0.8,1,1,1,0.8,1,1,0.8,0.8,0.8,1,1,1,1,0.6,0.6,0.4,0.4,0.2,0.2,0.8,0.2,0.8,0.6,0.8,0.6,0.2,1,0.6,0.6,0.4,0.2,0.2,0.6,0.4,0.2,0.2,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,0.8,0.4,1,0.4,0.8,1,1,1,0.4,0.8,0.6,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.6,0.6,1,0.6,0.8,0.6,1,1,1,1,0.6,0.8,1,1,1,0.6,0.8,0.6,0.8,1,1,0.6,0.2,0.8,0.8,0.4,0.6,0.4,0.2,0.4,0.4,0.4,72.55,54,208,309,54,203,105,0.34,4,0.33,0,-0.5,1,2 cups of coffee,0,"nan, ",No,"nan, ",-0.5,-0.5,No,They didn't. I butchered it,0.25,"The furniture/fixtures/objects in the room, The location of furniture/fixtures/objects, Where you picked up and put down items",Visualising the room layout,"nan, ",No specific strategy,"nan, ",No,"Yes, visual imagery","nan, ","nan, "
A011,4,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0.5,1,0,1,1,0,1,0.5,1,1,1,0.5,0,0,0.25,0.5,0.5,0,0,1,0,0.5,1,0,1,0.5,0.5,0.5,1,0.5,1,1,1,0,1,1,0,0,1,0,1,1,0.5,0,1,0,0.5,0,0,0,0,0,0.5,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.25,1,0.5,1,0,0,0,0,0,0.5,1,0,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.2,0.4,0.2,0.4,0.4,0.4,1,1,0.8,1,1,1,1,0.6,0.6,0.6,0.6,1,0.4,0.4,1,0.2,1,0.2,0.2,0.4,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.6,0.6,0.8,0.8,1,0.8,0.8,0.6,1,1,0.4,0.4,0.6,0.4,1,0.8,0.2,0.4,0.6,0.4,0.6,0.4,0.2,0.4,0.6,0.2,0.4,0.2,0.2,0.6,0.6,0.8,0.6,1,0.4,1,1,1,0.8,0.6,1,0.8,1,0.6,0.8,0.6,1,0.8,0.6,0.4,0.4,0.2,0.8,0.6,0.6,0.2,0.2,0.2,0.2,0.2,0.2,148.85,61,238,505,53,272,81,0.43,6,0.42,0,-0.5,0,"nan, ",0,"nan, ",No,"nan, ",-1,-1,No,They didn't. I butchered that,0,The furniture/fixtures/objects in the room,Visualising the room layout,"nan, ",No specific strategy,"nan, ",No,"Yes, visual imagery","nan, ","nan, "
A012,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0.5,1,0,1,0,0.5,1,1,0,1,0.5,1,0,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0.5,1,0.5,1,0,0.5,0.5,1,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0.6,0.6,0.6,0.6,1,0.8,0.2,1,1,1,1,0.2,1,1,1,0.6,1,1,1,1,0.6,0.6,1,1,1,1,0.8,1,1,1,0.4,1,0.6,0.8,0.8,0.6,0.2,1,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,1,0.8,1,1,1,0.8,1,0.8,0.4,1,1,0.4,0.8,0.4,0.4,0.6,1,0.4,0.4,0.8,0.8,0.6,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.6,1,1,0.2,1,0.6,0.6,0.8,1,0.4,0.6,1,56,497,725,184,330,100,0.17,6,0.48,0.5,0,0,"nan, ",0,"nan, ",No,"nan, ",0,"nan, ","nan, ","nan, ","nan, ","The furniture/fixtures/objects in the room, The location of furniture/fixtures/objects, The items you picked up, Where you picked up and put down items, The order you completed items and tasks","Visualising the room layout, Associating items with personal experiences, Creating a mental story or narrative","nan, ","Visualising the room layout, Associating items with personal experiences, Creating a mental story or narrative","nan, ",No,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A012,2,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0.5,1,0.5,0.5,1,0,0.5,0.5,1,0.25,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,1,0.5,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0.5,0,0,0.25,0.25,0,0,0,0.5,0,1,1,0,1,1,1,1,1,0.6,0.6,0.2,1,0.2,1,0.2,1,0.4,0.4,0.2,1,1,1,1,0.8,0.6,1,0.8,1,0.6,0.2,0.6,0.4,1,0.2,0.6,0.2,0.2,0.4,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,1,0.6,0.6,1,1,1,1,0.6,0.2,0.4,0.6,0.4,0.4,0.6,0.2,0.4,0.4,0.4,0.2,0.6,0.4,0.6,0.8,0.6,0.8,0.8,1,1,1,1,1,1,1,0.4,0.8,0.6,0.6,0.6,0.8,0.8,0.6,0.4,0.8,0.2,0.4,0.4,0.6,0.4,0.4,0.4,0.4,25.6,35,329,547,156,435,208,0.32,8,0.4,0.5,0.5,1,1 can of coke,0,"nan, ",No,"nan, ",-1,-1,No,did not,0,"The furniture/fixtures/objects in the room, The location of furniture/fixtures/objects, The items you picked up, Where you picked up and put down items, The order you completed items and tasks","Visualising the room layout, Associating items with personal experiences","nan, ","Visualising the room layout, Associating items with personal experiences, Creating a mental story or narrative","nan, ",No,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A012,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0.5,1,1,1,1,0,1,1,1,1,1,0.5,1,1,0.25,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,0,1,0,0,0.5,0.5,0.5,0,0.5,0.5,1,0.8,0.8,0.6,0.6,0.4,0.4,0.6,0.8,1,0.2,0.8,1,0.6,0.4,0.4,1,1,1,1,0.6,0.8,0.4,0.4,1,1,0.8,0.6,1,1,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.4,0.4,0.4,0.4,1,1,1,1,0.6,1,1,1,1,1,0.4,1,1,0.4,0.4,0.4,0.2,0.4,0.6,0.4,0.6,0.6,0.2,0.4,0.6,0.6,0.8,0.6,0.6,0.8,0.8,1,1,1,1,0.8,1,1,1,1,1,1,0.4,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.4,166.33,29,323,634,54,355,132,0.04,6,0.54,0,-0.5,0,"nan, ",0,"nan, ",No,"nan, ",-0.5,0,Yes,"I knew what to expect, so my mind was ready.",0.25,The items you picked up,"Visualising the room layout, Associating items with personal experiences, Creating a mental story or narrative","nan, ","Visualising the room layout, Associating items with personal experiences, Creating a mental story or narrative","nan, ",No,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A012,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0.5,1,1,1,1,1,0.25,0.5,1,0.5,0.5,0.5,0.25,0,0,0.5,0,0,1,0.5,1,1,0,0.5,1,0,1,1,1,0,1,0,0,1,1,0,0.25,0.5,0,0.5,1,0,0.25,0,0,0.5,0.5,0,1,1,0,0,0.5,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,0.25,0,0,0.5,1,0,0.25,0,0.5,0.5,0.5,0,1,1,1,0,1,1,1,1,1,0.6,0.8,1,0.2,1,0.2,0.6,0.2,1,0.4,0.4,1,1,1,1,0.8,0.8,1,0.8,1,1,0.2,0.8,0.2,0.2,0.2,0.8,0.4,1,0.4,0.2,0.2,0.4,0.4,0.6,0.2,0.2,0.2,0.4,0.4,0.4,0.6,0.6,1,1,0.6,1,0.4,0.8,0.6,1,0.4,0.8,0.2,0.4,0.4,0.6,0.4,1,0.4,0.2,0.4,0.4,0.2,1,0.2,0.2,0.4,0.8,0.8,0.8,0.8,0.8,1,0.8,1,1,0.8,1,1,0.8,0.8,1,0.6,0.8,0.8,0.6,0.4,0.8,0.2,1,0.8,0.6,0.4,0.6,0.2,1,0.4,0.4,0.2,166.87,18,167,590,43,288,71,0.06,6,0.54,0,-0.5,0,"nan, ",0,"nan, ",No,"nan, ",-1,-0.5,Yes,"i had an idea of the items and layout of previous rooms, so i could deduct that away from what could be in this room.",0.25,"The items you picked up, Where you picked up and put down items","Visualising the room layout, Associating items with personal experiences, Creating a mental story or narrative","nan, ","Visualising the room layout, Associating items with personal experiences, Creating a mental story or narrative","nan, ",No,"No, I did not apply any mnemonic techniques","nan, ","nan, "
A013,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.5,1,0,1,1,1,1,0.5,0.25,1,1,1,0.5,0.25,0,0.25,1,1,0,1,0.5,1,0.5,1,1,1,0,0.5,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0.5,1,0,0,1,1,0.5,0,0,1,0.5,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0.5,0.5,1,1,1,0,0,0,0.5,0,1,0,0.8,0.8,0.2,0.8,0.8,1,1,0.2,0.2,0.2,1,0.2,0.2,1,1,1,0.6,0.6,0.8,0.2,0.4,1,1,1,0.8,1,0.6,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.4,0.4,0.6,1,0.8,1,1,1,1,0.6,0.4,0.8,1,0.8,0.4,1,0.2,0.2,1,0.8,0.2,0.4,0.2,0.6,0.4,0.2,0.6,0.4,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,0.4,1,1,1,1,0.6,0.2,1,1,1,0.6,0.4,0.2,0.4,0.4,0.4,0.6,1,33,549,346,83,209,62,0.27,6,0.42,-0.5,-0.5,0,"nan, ",0,"nan, ",No,"nan, ",-0.5,"nan, ","nan, ","nan, ","nan, ",The furniture/fixtures/objects in the room,No specific strategy,"nan, ",No specific strategy,"nan, ",Yes,Unsure,"nan, ","nan, "
A013,2,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.5,0,0,1,0.25,1,1,0.5,0,1,1,0.25,0,1,1,1,0,0,1,1,0,0.5,0,1,0.5,0,0.5,1,1,1,0,1,1,1,0.25,1,0,0.5,0,1,1,0,0,0.5,0,0.5,0,0,0,0.5,1,0,1,0,0,0,1,1,1,0.5,1,1,1,1,1,1,0.5,1,0,1,0,1,1,1,0,0.5,1,0.5,0,0,0,0.5,0.5,0.5,0.6,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.8,0.6,0.8,0.2,0.6,0.8,0.4,0.8,0.4,0.6,0.8,0.6,0.8,0.6,0.2,0.2,0.8,0.8,0.4,1,0.2,0.6,0.2,0.6,0.6,0.2,0.6,0.6,0.2,0.8,0.4,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.8,0.6,1,0.2,1,1,1,0.8,1,0.2,0.6,0.2,0.6,0.2,1,0.2,0.2,1,0.2,0.2,0.8,0.2,1,1,0.6,0.2,0.2,0.8,0.4,0.2,0.2,0.2,0.2,1,0.4,1,1,0.4,0.8,0.8,1,0.4,1,0.2,0.2,0.2,1,1,0.6,1,0.8,0.2,0.8,0.4,1,0.2,0.4,0.2,0.2,24.77,27,355,290,87,203,121,0.43,4,0.29,-1,-1,0,"nan, ",0,"nan, ",No,"nan, ",-1,-0.5,Unsure,I could eliminate objects in my head,0.25,The furniture/fixtures/objects in the room,Visualising the room layout,"nan, ",Visualising the room layout,"nan, ",Yes,Unsure,"nan, ","nan, "
